333 - 12.612613% | Entry #1
355 - 11.830986% | Entry #2
360 - 11.666667% | Entry #3
363 - 11.570248% | Entry #4
373 - 11.260054% | Entry #5
380 - 11.052631% | Entry #6
381 - 11.023622% | Entry #7
382 - 10.994764% | Entry #8
383 - 10.966058% | Entry #9
386 - 10.880829% | Entry #10
387 - 10.852714% | Entry #11
388 - 10.824742% | Entries #12-13
389 - 10.796915% | Entry #14
390 - 10.769231% | Entries #15-17
392 - 10.714286% | Entries #18-20
393 - 10.687022% | Entry #21
394 - 10.659899% | Entry #22
396 - 10.606061% | Entries #23-24
397 - 10.579346% | Entries #25-26
398 - 10.552764% | Entry #27
399 - 10.526316% | Entries #28-30
400 - 10.5% | Entry #31
402 - 10.447762% | Entries #32-34
403 - 10.421837% | Entries #35-36
404 - 10.39604% | Entry #37
405 - 10.37037% | Entries #38-39
406 - 10.344828% | Entries #40-41
407 - 10.31941% | Entry #42
408 - 10.294118% | Entries #43-46
409 - 10.268949% | Entries #47-49
410 - 10.243902% | Entry #50
411 - 10.218978% | Entries #51-52
412 - 10.194175% | Entries #53-54
413 - 10.169491% | Entries #55-57
414 - 10.144927% | Entry #58
415 - 10.120482% | Entries #59-60
416 - 10.096153% | Entries #61-63
417 - 10.071942% | Entries #64-68
418 - 10.047847% | Entries #69-72
419 - 10.023867% | Entry #73
420 - 10% | Entries #74-75
421 - 9.976247% | Entries #76-80
422 - 9.952607% | Entries #81-82
423 - 9.929078% | Entries #83-86
424 - 9.905661% | Entries #87-89
425 - 9.882353% | Entries #90-99
426 - 9.859155% | Entries #100-104
427 - 9.836065% | Entries #105-109
428 - 9.813085% | Entries #110-114
429 - 9.79021% | Entries #115-121
430 - 9.767442% | Entries #122-126
431 - 9.74478% | Entries #127-133
432 - 9.722222% | Entries #134-141
433 - 9.699769% | Entries #142-149
434 - 9.677419% | Entries #150-162
435 - 9.655172% | Entries #163-171
436 - 9.633028% | Entries #172-183
437 - 9.610984% | Entries #184-194
438 - 9.589041% | Entries #195-206
439 - 9.567198% | Entries #207-211
440 - 9.545454% | Entries #212-220
441 - 9.523809% | Entries #221-225
442 - 9.502263% | Entries #226-239
443 - 9.480812% | Entries #240-249
444 - 9.459459% | Entries #250-262
445 - 9.438203% | Entries #263-277
446 - 9.417041% | Entries #278-294
447 - 9.395973% | Entries #295-308
448 - 9.375% | Entries #309-321
449 - 9.35412% | Entries #322-336
450 - 9.333333% | Entries #337-354
451 - 9.312638% | Entries #355-376
452 - 9.292035% | Entries #377-393
453 - 9.271523% | Entries #394-414
454 - 9.2511015% | Entries #415-432
455 - 9.230769% | Entries #433-453
456 - 9.210526% | Entries #454-472
457 - 9.1903715% | Entries #473-504
458 - 9.170305% | Entries #505-528
459 - 9.150327% | Entries #529-551
460 - 9.130435% | Entries #552-577
461 - 9.110629% | Entries #578-599
462 - 9.090909% | Entries #600-626
463 - 9.071274% | Entries #627-653
464 - 9.0517235% | Entries #654-684
465 - 9.032258% | Entries #685-714
466 - 9.012876% | Entries #715-737
467 - 8.993576% | Entries #738-772
468 - 8.9743595% | Entries #773-811
469 - 8.955224% | Entries #812-846
470 - 8.936171% | Entries #847-890
471 - 8.917197% | Entries #891-921
472 - 8.898305% | Entries #922-968
473 - 8.879493% | Entries #969-1005
474 - 8.86076% | Entries #1006-1044
475 - 8.842106% | Entries #1045-1105
476 - 8.823529% | Entries #1106-1146
477 - 8.805032% | Entries #1147-1197
478 - 8.786611% | Entries #1198-1246
479 - 8.768268% | Entries #1247-1317
480 - 8.75% | Entries #1318-1374
481 - 8.731809% | Entries #1375-1436
482 - 8.713694% | Entries #1437-1489
483 - 8.695652% | Entries #1490-1570
484 - 8.677686% | Entries #1571-1638
485 - 8.659794% | Entries #1639-1703
486 - 8.641975% | Entries #1704-1776
487 - 8.62423% | Entries #1777-1847
488 - 8.606558% | Entries #1848-1928
489 - 8.588957% | Entries #1929-2010
490 - 8.571429% | Entries #2011-2085
491 - 8.553971% | Entries #2086-2180
492 - 8.536586% | Entries #2181-2277
493 - 8.51927% | Entries #2278-2375
494 - 8.502025% | Entries #2376-2483
495 - 8.484849% | Entries #2484-2583
496 - 8.467742% | Entries #2584-2697
497 - 8.450704% | Entries #2698-2798
498 - 8.433735% | Entries #2799-2917
499 - 8.416834% | Entries #2918-3025
500 - 8.4% | Entries #3026-3125
501 - 8.383234% | Entries #3126-3241
502 - 8.366534% | Entries #3242-3370
503 - 8.3499% | Entries #3371-3514
504 - 8.333334% | Entries #3515-3645
505 - 8.316832% | Entries #3646-3780
506 - 8.300395% | Entries #3781-3935
507 - 8.284023% | Entries #3936-4061
508 - 8.267716% | Entries #4062-4225
509 - 8.251473% | Entries #4226-4378
510 - 8.235294% | Entries #4379-4545
511 - 8.219178% | Entries #4546-4728
512 - 8.203125% | Entries #4729-4895
513 - 8.187135% | Entries #4896-5071
514 - 8.1712055% | Entries #5072-5280
515 - 8.15534% | Entries #5281-5479
516 - 8.139535% | Entries #5480-5695
517 - 8.123791% | Entries #5696-5878
518 - 8.108108% | Entries #5879-6077
519 - 8.092485% | Entries #6078-6292
520 - 8.076923% | Entries #6293-6523
521 - 8.06142% | Entries #6524-6770
522 - 8.045978% | Entries #6771-7044
523 - 8.030593% | Entries #7045-7331
524 - 8.015266% | Entries #7332-7623
525 - 8% | Entries #7624-7922
526 - 7.984791% | Entries #7923-8233
527 - 7.9696393% | Entries #8234-8548
